@timestamp,Domain,SourceIP,SrcPort,DstIP,DstPort
2026-02-09T09:52:00.833446576Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62704,172.64.152.233,443
2026-02-09T09:52:00.507999231Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,62904,104.18.35.23,443
2026-02-09T09:52:00.568337946Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,61498,172.64.152.233,443
2026-02-09T06:46:31.206308436Z,dc.crsorgi.gov.in.lndex.in.,192.168.0.184,62845,104.18.35.23,443
2026-02-09T09:52:00.508259869Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,61673,172.64.152.233,443
2026-02-09T09:52:00.565384410Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,61455,172.64.152.233,443
2026-02-09T09:52:00.833488875Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,62705,104.18.35.23,443
2026-02-09T09:52:00.496651800Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,62808,104.18.35.23,443
2026-02-09T09:52:00.568092588Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,61486,104.18.35.23,443
2026-02-09T06:46:31.206402583Z,dc.crsorgi.gov.in.indexin.shop.,192.168.0.184,63039,172.64.152.233,443
2026-02-09T09:52:00.571854264Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,61566,172.64.152.233,443
2026-02-09T09:52:00.570893129Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,61531,172.64.152.233,443
2026-02-09T09:52:00.833702938Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,62711,104.18.35.23,443
2026-02-09T09:52:00.496672015Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62809,172.64.152.233,443
2026-02-09T09:52:00.568234444Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,61493,172.64.152.233,443
2026-02-09T06:46:31.206621046Z,dc.crsorgi.gov.in.web.verfy.in.,192.168.0.184,63045,104.18.35.23,443
2026-02-09T09:52:00.571903944Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,61568,104.18.35.23,443
2026-02-09T09:52:00.508047853Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,61661,172.64.152.233,443
2026-02-09T09:52:00.833746452Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62712,172.64.152.233,443
2026-02-09T09:52:00.565269483Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,61447,13.225.103.30,443
2026-02-09T09:52:00.568143437Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,61488,104.18.35.23,443
2026-02-09T06:46:31.206662748Z,dc.crsorgi.gov.in.lndex.in.,192.168.0.184,63046,172.64.152.233,443
2026-02-09T09:52:00.568298088Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,61496,172.64.152.233,443
2026-02-09T09:52:00.571727533Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,61557,18.164.242.10,443
2026-02-09T09:52:00.833917994Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,62717,104.18.35.23,443
2026-02-09T09:52:00.508191836Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62913,172.64.152.233,443
2026-02-09T09:52:00.495028396Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62797,104.18.35.23,443
2026-02-09T06:46:31.206988980Z,dc.crsorgi.gov.in.lndex.in.,192.168.0.184,63054,172.64.152.233,443
2026-02-09T09:52:00.503703702Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62893,172.64.152.233,443
2026-02-09T09:52:00.592323420Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,63386,104.18.35.23,443
2026-02-09T09:52:00.834342360Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62726,172.64.152.233,443
2026-02-09T09:52:00.508198841Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,61670,172.64.152.233,443
2026-02-09T09:52:00.508028465Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,61644,216.239.38.223,443
2026-02-09T06:46:31.207070564Z,parivahan.gov.in.audio.,192.168.0.184,63056,172.64.152.233,443
2026-02-09T09:52:00.503757098Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,62896,104.18.35.23,443
2026-02-09T09:52:00.504130928Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62815,172.64.152.233,443
2026-02-09T09:52:00.834600403Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62732,172.64.152.233,443
2026-02-09T09:52:00.571871599Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,61567,18.164.242.10,443
2026-02-09T09:52:00.506957793Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,62900,104.18.35.23,443
2026-02-09T06:46:31.207132835Z,dc.crsorgi.gov.in.lndex.in.,192.168.0.184,62867,172.64.152.233,443
2026-02-09T09:52:00.505023217Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62819,172.64.152.233,443
2026-02-09T09:52:00.505047905Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,62820,104.18.35.23,443
2026-02-09T09:52:00.834714954Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,62735,104.18.35.23,443
2026-02-09T09:52:00.571887492Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,61569,18.164.242.220,443
2026-02-09T09:52:00.571573078Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,61545,104.18.35.23,443
2026-02-09T06:46:31.207177700Z,dc.crsorgi.gov.in.crsweb.xyz.,192.168.0.184,62868,104.18.35.23,443
2026-02-09T09:52:00.499898458Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62846,172.64.152.233,443
2026-02-09T09:52:00.505095053Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,62823,104.18.35.23,443
2026-02-09T09:52:00.834889951Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62744,172.64.152.233,443
2026-02-09T09:52:00.508024031Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62905,172.64.152.233,443
2026-02-09T09:52:00.496923445Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62826,172.64.152.233,443
2026-02-09T06:46:31.207352954Z,dc.crsorgi.gov.in.web.lndex.tech.,192.168.0.184,62872,104.18.35.23,443
2026-02-09T09:52:00.499914824Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,62847,104.18.35.23,443
2026-02-09T09:52:00.505116810Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62824,172.64.152.233,443
2026-02-09T09:52:00.835169145Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62754,172.64.152.233,443
2026-02-09T09:52:00.571666764Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,61553,18.164.242.214,443
2026-02-09T09:52:00.496937816Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,62827,104.18.35.23,443
2026-02-09T06:46:31.207438275Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,62874,104.18.35.23,443
2026-02-09T09:52:00.492963689Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62781,172.64.152.233,443
2026-02-09T09:52:00.500920867Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62854,172.64.152.233,443
2026-02-09T09:52:00.942002935Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62970,104.18.35.23,443
2026-02-09T09:52:00.571712521Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,61558,18.164.242.220,443
2026-02-09T09:52:00.571047303Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,61534,104.18.35.23,443
2026-02-09T06:46:31.207703394Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62880,104.18.35.23,443
2026-02-09T09:52:00.510574417Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62948,104.18.35.23,443
2026-02-09T09:52:00.500959406Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62856,172.64.152.233,443
2026-02-09T09:52:00.942018338Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,62971,172.64.152.233,443
2026-02-09T09:52:00.496893098Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62824,172.64.152.233,443
2026-02-09T09:52:00.592458681Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,63393,172.64.152.233,443
2026-02-09T06:46:31.207834814Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62882,104.18.35.23,443
2026-02-09T09:52:00.508106409Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,61612,18.164.242.10,443
2026-02-09T09:52:00.500880404Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62852,172.64.152.233,443
2026-02-09T09:52:00.942048300Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,62973,172.64.152.233,443
2026-02-09T09:52:00.496951690Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62828,172.64.152.233,443
2026-02-09T09:52:00.592482783Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,63394,172.64.152.233,443
2026-02-09T06:46:31.207860467Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,63061,104.18.35.23,443
2026-02-09T09:52:00.512889681Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,62941,104.18.35.23,443
2026-02-09T09:52:00.503619351Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,61635,172.64.152.233,443
2026-02-09T09:52:00.948878538Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,63044,172.64.152.233,443
2026-02-09T09:52:00.503214514Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,61612,18.164.242.10,443
2026-02-09T09:52:00.591942753Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,63369,104.18.35.23,443
2026-02-09T06:46:31.207882940Z,crsorgi.gov.in.jhgrow.org.,192.168.0.184,62883,172.64.152.233,443
2026-02-09T09:52:00.512909240Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62942,172.64.152.233,443
2026-02-09T09:52:00.501511405Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,62868,104.18.35.23,443
2026-02-09T09:52:00.948916915Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,63046,172.64.152.233,443
2026-02-09T09:52:00.503229615Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,61614,18.164.242.10,443
2026-02-09T09:52:00.495061793Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,62798,104.17.109.183,443
2026-02-09T06:46:31.207901645Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,63062,172.64.152.233,443
2026-02-09T09:52:00.512147510Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,62902,104.18.35.23,443
