@timestamp,SourceIP,SrcPort,DstIP,DstPort,Protocol,tcpFlagsSequence,tcpSynTotalCount,tcpRstTotalCount,tcpPshTotalCount,tcpAckTotalCount,tcpUrgTotalCount,Duration
2026-02-10T06:23:15.314363361Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:44:46.942961328Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:23:15.316073776Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:44:46.943280331Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:44:46.944251434Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:23:15.314303198Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:23:15.865468080Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.892319296Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:44:33.486208380Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:23:15.314421871Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
